keys,de,en
t6e5d193af9,Wir müssen langsam schon mit dem Abbau beginnen...,We have to start cleaning up soon...
t6bd1f4e464,...aber schau dir sonst gerne noch mal das Feuerwehrfahrzeug an.,...but take another look at the fire engine.
t38ce9af659,Guten Tag!,Good day!
t45916635fc,Ich hoffe dir hat das Training gefallen.,I hope you enjoyed the training.
tad31fb5b28,Ich habe auf jeden Fall einiges gelernt!,I have definitely learnt a lot!
t50e58d8af1,Bist du auch gekommen um bei der Feuerlösch- & Erste Hilfe Übung mitzumachen?,Did you also come to take part in the fire extinguishing & first aid exercise?
tc2d98c46b6,Ja!,Yes!
t70047443a7,"Alles klar, dann nimm dir einen der Feuerlöscher und los geht's!","All right, then grab one of the fire extinguishers and let's go!"
t5af3fdf6ac,Walter gibt dir und den anderen einen Notfall-Crash-Kurs.,Walter gives you and the others an emergency crash course.
t5edaedce5e,...das war lehrreich!,...that was informative!
t0327cf77f5,Mit dem ganzen Programm hier hab ich mich echt körperlich betätigt.,"With the whole programme here, I've been really physically active."
tcb152d37e0,Das Workout für die Woche kann ich schon mal abhaken.,I can already tick off my workout for the week.
tff4e0a841b,"Erst mal nicht, danke.","Not for now, thank you."
