keys,de,en
t66cc7fc31e,Guten Tag!,Good day!
t06f134ea4d,Guten Tag.,Good day.
t89c11b1118,Was macht die Arbeit?,How's the work?
tc2163dbe55,Was hast du so im Angebot?,What have you got on offer?
t35c53a4d05,Tschüss!,Bye Bye!
t5608e0f93e,Bis dann!,See you then!
t8d244ed319,Momentan handel ich ohne Geld. Wer weiß wie viel es morgen wert ist.,At the moment I'm trading without money. Who knows how much it will be worth tomorrow.
t9243c24e49,Nur [i]Ware[/i] ist Wahres?,Only [i]goods[/i] are good?
t4b582df164,Hahaha. So könnte man es ausdrücken.,Hahaha. You could put it like that.
t6efa804990,Für {{TradeMngr.get_sought_items_text()}} biete ich dir {{TradeMngr.get_offered_items_text()}}.,If you trade me {{TradeMngr.get_sought_items_text()}} I'll give you {{TradeMngr.get_offered_items_text()}}.
t0c98d4d4dd,Was meinst du?,What do you think?
tbb47a3e3e1,Geht klar.,W've got a deal.
t4809f85b7d,Danke.,Thanks.
t4ec8793761,Grade nicht.,Sorry not right now.
t563278f53d,"Okay, schönen Tag noch!","Okay, good day!"
tf5e7cc2bca,"Tut mir Leid, aber {{TradeMngr.get_unfeasibility_reason()}}!","Sorry, but {{TradeMngr.get_unfeasibility_reason()}}!"
tc234faf9b4,Hast du schon mit den anderen geschnackt?,Have you had a chat with the others yet?
t56b7f9330e,Willkommen auf der Nachbarschaftsfete!,Welcome to the neighbourhood party!
tdd9a7fc9e7,Wir mussten ja jede Menge Krisen in letzter Zeit durchstehen.,We've had to get through a lot of crises recently.
ta2aaee5d92,"Endlich hat sich der Bürgermeister durchgerungen, das Fest hier zu finanzieren.","The mayor has finally decided to finance the festival here."
t590422d52e,Was willst du haben?,What do you want to have?
tb8441a5660,"Bratfisch mit Pommes, bitte","Fried fish and chips, please"
t2ed4578417,"Einmal Bratfisch und Pommes, verstanden!","One fried fish and chips, got it!"
tfae3b93ad3,"Einen Teller Gulasch, bitte","A plate of goulash, please"
t63bdf38193,Ein Teller Gulasch kommt sofort!,A plate of goulash coming right up!
t041dedfe39,"Reis mit Gemüse, bitte","Rice with vegetables, please"
t66fb1c54db,Hier!,Here!
tf93603b6a6,Danke!,Thanks!
