keys,de,en
[center]Titel[/center],[center]Titel[/center],[center]Title[/center]
Konsumieren,Konsumieren,Consume
Essen,Essen,Eat
Trinken,Trinken,Drink
Filtern,Filtern,Filter
Entsorgen,Entsorgen,Discard
Dreckiges Wasser zum Filtern ist nicht verfügbar.,Dreckiges Wasser zum Filtern ist nicht verfügbar.,There is no dirty water available for filtering.
Zurück,Zurück,Back
[center]Tagesübersicht[/center],[center]Tagesübersicht[/center],[center]Summary of the day[/center]
MORGEN,MORGEN,MORNING
MITTAG,MITTAG,NOON
ABEND,ABEND,EVENING
Kümmer dich um deine Gesundheit, iss und trink etwas.,Kümmer dich um deine Gesundheit, iss und trink etwas.,Take care of your health, eat and drink something.
