keys,de,en
tee78b6ea77,Hey Kumpel! Alles klar bei dir?,Hey mate! Everything okay with you?
tfe3db0b977,"Ja, wie läuft's bei dir?","Yes, how are things going with you?"
tcd12ac186d,Ich muss los!,I have to go!
t21ff82a2c5,Man sieht sich!,See you around!
tf3f00f0908,Mir gehts super! Kommst du gut durch die Krise?,I'm doing great! Are you getting through the crisis okay?
t299d0c7878,Ja,Yes
tf0e6d91a55,Ich komme klar.,I can manage.
t9315a3ea14,"Schön zu hören! Aber pass' trotzdem auf dich auf, ja? So eine Krise ist nicht ohne.","Good to hear! But take care of yourself anyway, yeah? A crisis like this is not without its problems."
te71ea48c60,Nein,No
t1209fc10e7,Ist ehrlich gesagt ganz schön schwierig.,"To be honest, it's quite hard on me."
t2eb95c715f,"Tut mir leid, das zu hören. Wenn du jemandem zum Reden brauchst, sag Bescheid, ja?","I'm sorry to hear that. If you need someone to talk to, just let me know, OK?"
t2cc2725e61,Zusammen schaffen wir das schon!,Together we can do it!
t83a2c6db54,"Bin ein bisschen gestresst. In solchen Zeiten hat das THW, also das Technische Hilfswerk, mehr zu tun als sonst.","I'm a bit stressed. At times like these, the THW, the German Federal Agency for Technical Relief, is busier than usual."
t15b4ac07d7,"Aber zu sehen, wie viel Hilfsbereitschaft und Dankbarkeit die Menschen haben - Das ist das Größte.","But to see how helpful and grateful people are - that's the greatest thing."
td99c060065,"Sorry, aber du hast bereits dein Paket erhalten.","Sorry, but you've already received your parcel."
t9d3fb7c797,Wir vom Technischen Hilfswerk verteilen momentan kostenlose Hilfspakete um die Krise zu bekämpfen!,We at the Federal Agency for Technical Relief are currently distributing free aid packages to combat the crisis!
tcaccebacf7,Hier ist dein Paket.[wait=0.5] [b]Weiterhin viel Erfolg![b],Here is your parcel.[wait=0.5] [b]Good luck![b]
tec9374ddbb,"Hey Kumpel! Ich bin auf dem Weg zum Marktplatz, aber der Kollege der mir beim Wasser verteilen helfen sollte ist krank geworden.","Hey mate! I'm on my way to the marketplace, but the colleague who was supposed to help me hand out water has fallen ill."
tff6329542c,"Hast du Zeit und Lust, mir zu helfen?","Do you have time and are want to help me?""
tccd8650939,Helfen,Help
t46105bc8fa,Kein Problem!,No Problem!
td74458bcc3,"Super, danke! Dann steig ein, und los geht's zum Marktplatz!","Great, thank you! Then get in and off we go to the market square!"
tbf23fab7c6,Du hilfst Mert beim Austeilen der Wasser-Hilfspakete.,You help Mert hand out the water aid packs.
tb61dfc12fb,"Es ist ein langwieriges, repetitives Unterfangen, was dich jedoch mit einem guten Gefühl hinterlässt.","It's a tedious, repetitive endeavour, but it leaves you with a good feeling."
t6708af387c,"Super, wir konnten allen Leuten Wasser zukommen lassen. Und schau mal, es ist noch welches übrig!","Great, we were able to get water to everyone. And look, there's still some left!"
tdf029051f2,Danke nochmal für deine Hilfe! Man sieht sich!,Thanks again for your help! 
ta7e105dd61,Nicht helfen,Don't help
t06e108624c,"Tut mir leid, das passt mir gerade nicht gut.","Sorry I don't have time right now."
tcbef9f3b9d,Kann man nichts machen. Beim nächsten Mal vielleicht!,Can't do anything about it. Maybe next time!
