keys,de,en
tf952cb12db,Hi Nachbar!,Hi neighbour!
t00bdde9f53,Was geht?,What's up?
ta0f45e9445,Bis dann!,See you later!
t988abcd9c1,Hast du heute schon ein paar Nachbarn besucht? Soziale Kontakte sind das A und O in einer Krise.,Have you visited a few neighbours today? Social contacts are the be-all and end-all in a crisis.
t8df36690f1,"In unserer Nachbarschaft gibt es einige sehr liebe Menschen, die dir sicher gerne helfen, besser durch die Krise zu kommen.","There are some very nice people in our neighbourhood who will be happy to help you get through the crisis."
t3cd38add93,"Andersherum ist es natürlich auch nett, wenn du ihnen hilfst, falls sie sich mit einem Problem an dich wenden.","On the other hand, it's also nice if you help them if they come to you with a problem."
t6a40db0cc4,Danke für den Tipp!,Thanks for the tip!
t4ab2f2728c,"Hast du heute schon etwas gekocht? Wenn du tagsüber etwas kochst, kannst du abends eine warme Mahlzeit zu dir nehmen.","Have you cooked anything today? If you cook something during the day, you can have a hot meal in the evening."
t1292bbb5e7,Das schmeckt nicht nur besser; viele Lebensmittel sind ungekocht gar nicht genießbar. Keiner möchte gerne ungekochte Nudeln kauen.,"Not only does it taste better, many foods are not even edible uncooked. Nobody wants to chew uncooked pasta."
te1f727fc63,Aber gekochtes Essen hält sich häufig nicht sehr lange und sollte daher bald gegessen werden.,But cooked food often doesn't last very long and should therefore be eaten soon.
t45414c5cbc,Danke für den Tipp!,Thanks for the tip!
tab40dc6be0,"Es gibt viele Möglichkeiten, an Wasser zu gelangen: Schön ist natürlich, wenn einfach sauberes Wasser aus deinem Wasserhahn kommt.","There are many ways to get water: Of course, it's nice when clean water simply comes out of your tap."
t3d6e77922f,"Wenn das Wasser mal ausfällt, kann man welches aus der Regentonne schöpfen. Das ist dann allerdings nicht sehr sauber.","If the water runs out, you can draw some from the rain barrel. But that's not very clean."
t34fe5254ed,Dafür gibt es Chlortabletten: Die reinigen verschmutztes Wasser aus der Regentonne oder bei Verschmutzungen in der Leitung.,That's why there are chlorine tablets: They clean contaminated water from the rain barrel or in the event of contamination in the tap.
t040049fa3e,Manchmal teilt der THW auch sauberes Wasser auf dem Marktplatz aus. Das wird dann im Radio angekündigt.,Sometimes the THW also hands out clean water on the market square. This is will be announced on the radio.
t543b47a23f,Danke für den Tipp!,Thanks for the tip!
ta7e58e737e,Wir reden gerade mit Leonie über Bücher.,We're currently talking to Leonie about books.
t9e16dc7d80,Liest du lieber was oder schaust du eher Filme?,Would you rather to read a book or watch a film?
td916795c34,Filme,Film
t807b389211,Ehrlich gesagt mag ich Filme genauso sehr! Kommt wirklich auf den Film an.,"To be honest, I like films just as much! It really depends on the film."
t92b692f7f7,"Wird Zeit für nen Filmabend, Leonie!","It's time for a film night, Leonie!"
tc1d57cf9c0,Bücher,Books
tbd92fd18f0,Wir sollten unseren eigenen Buchclub gründen!,We should start our own book club!
t49b0849329,"Hallo Nachbar! Mein Auto springt schon wieder nicht an, kannst du mir kurz helfen?","Hello neighbour! My car won't start, can you give me a hand?"
tffedb2820f,Ja,Sure
t1e1ef4edcb,Bin dabei!,I'm on it!
ted88d47cc6,Vielen Dank!,Thanks a lot!
t785bc3a456,Soo ... Und wenn du jetzt kurz die Zündung drehst ... Der Motor läuft! Super!,Soo ... And if you now turn the ignition briefly ... The engine is running! Great!
t5ec069ff29,"Im Handschuhfach ist noch Schokolade, bedien‘ dich ruhig.","There's still chocolate in the glove compartment, help yourself."
t11d0d59300,Und danke nochmal für deine Hilfe!,And thanks again for your help!
t7d008ae78f,Nein,No
tba85bc09aa,"Oh okay, kein Problem. Ich frag mal weiter rum, ob jemand gerade Zeit hat.","Oh okay, no problem. I'll keep asking around to see if anyone's free right now."
