keys,de,en
t47f0a1942c,...,...
t2bb2914cf2,Momo ist etwas scheu.,Momo is a bit shy.
t85b0a68cdc,Warum denn?,Why is that?
tad40aefc36,Gute Frage. Vielleicht hat sie in der Vergangenheit keine guten Erfahrungen mit Menschen gemacht.,That's a good question. Maybe she hasn't had good experiences with people in the past.
t91fb8dd84a,"Manchmal klettert sie sogar auf hohe Bäume, um ihre Ruhe vor Menschen zu haben ... und kommt dann alleine nicht mehr herunter.","Sometimes she even climbs high trees to get away from people ... and then can't get down on her own."
t16b18d4603,"So habe ich sie kennen gelernt. Ich habe sie damals vom Baum geholt, als sie feststeckte.","That's how I got to know her. I got her out of the tree when she was stuck."
te83b2000d8,"Wir konnten danach keine Besitzer*innen finden, und gechipt war sie auch nicht, also habe ich sie bei mir aufgenommen.","We couldn't find any owners afterwards, and she wasn't tagged either, so I took her in."
t0e37851b10,"Sie versteckt sich immer noch häufig, wenn fremde Menschen da sind. Wundert mich, dass sie überhaupt so ruhig hier sitzt.","She still often hides when strangers are around. I'm surprised she's sitting here so quietly at all."
t452e87dd9c,"Scheint so, als mag sie dich! Mit Streicheln wäre ich trotzdem vorsichtig.","Seems like she likes you! I'd still be careful about stroking her."
t40fbcdb35f,Miau ...,Meow ...
tebe892da00,Muss los.,Gotta go.
