keys,de,en
Neues Spiel starten,Neues Spiel starten,Start a new game
Vorräte einkaufen,Vorräte einkaufen,Buy supplies
Haushalt ausstatten,Haushalt ausstatten,Equip your household
[center][color=white] Wähle deinen Charakter[/color][/center],[center][color=white] Wähle deinen Charakter[/color][/center],[center][color=white] Choose your character[/color][/center]
[center][color=white]Einstellungen[/color][/center],[center][color=white]Einstellungen[/color][/center],[center][color=white]Settings[/color][/center]
Speichern & Zurück,Speichern & Zurück,Save and Close
Charakter auswählen,Charakter auswählen,Change character
Sound,Sound,Sound
Spiel zurücksetzen,Spiel zurücksetzen,Reset Game
[center]Rucksack[/center],[center]Rucksack[/center],[center]Backpack[/center]
[center]Shop[/center],[center]Shop[/center],[center]Shop[/center]
Bestätigen,Bestätigen,Confirm
Abbrechen,Abbrechen,Cancel
Allgemein,Allgemein,General
Hintergrund Musik,Hintergrund Musik,Background music
Sound Effekte,Sound Effekte,Sound effects
Vibration,Vibration,Vibration
BACK_SOUND,Speichern & Zurück,Save & Go Back
[center]Du bist in der Mitte einer Krise.[/center],[center]Du bist in der Mitte einer Krise.[/center],[center]You are in the middle of a crisis.[/center]
Krise fortsetzen,Krise fortsetzen,Continue crisis
Krise zurücksetzen,Krise zurücksetzen,Reset crisis
[center]Statten Sie ihr Zuhause aus[/center],[center]Statten Sie ihr Zuhause aus[/center],[center]Equip your home[/center]
[center]Gekaufte Gegenstände sind dauerhaft zur Auswahl freigeschaltet[/center],[center]Gekaufte Gegenstände sind dauerhaft zur Auswahl freigeschaltet[/center],[center]Purchased items are permanently unlocked and available for selection[/center]
[center]Ausgerüstete Gegenstände[/center],[center]Ausgerüstete Gegenstände[/center],[center]Equipped items[/center]
[center]Erwerbbare Gegenstände[/center],[center]Erwerbbare Gegenstände[/center],[center]Acquirable Items[/center]
Auswahl bestätigen,Auswahl bestätigen,Confirm selection
Gegenstand kaufen,Gegenstand kaufen,Buy item
Gegenstand ausrüsten,Gegenstand ausrüsten,Equip item
Kurz,Kurz,Short
Mittel,Mittel,Medium
Lang,Lang,Long
Weiter,Weiter,Continue
