keys,de,en
tbd735ad345,"Oh, hey!","Oh, hey!"
ta63693af32,Was geht?,What's up?
t2fb2332f70,Man sieht sich!,See you around!
tca942807f5,"Okay, bis dann!","Okay, see you then!"
tc90f180d66,"Vero plant schon unseren nächsten Camping-Trip. Ich hoffe, sie plant nicht zu viele Urlaubstage komplett durch.","Vero is already planning our next camping trip.  I hope she doesn't pack our schedules too tightly."
tcd9e787996,"Versteh mich nicht falsch: Ich finde es toll, dass sie immer den Überblick hat und ich mich um nichts kümmern muss.","Don't get me wrong: I think it's great that she always has an overview and I don't have to worry about anything."
t34f1c80d01,"Aber manchmal will ich auch einfach in die Natur wandern, ohne einen Plan für den Tag. Verstehst du?","But sometimes I just want to hike in nature without a plan for the day. Do you understand?"
ta62449d86d,Kann ich gut nachvollziehen.,I can understand that very well.
t34f86384c3,Ohne Spontanität ist das Leben langweilig.,Life is boring without spontaneity.
tdf0a41b2a0,"Genau! Wenn ich nie vom Wanderweg abweiche, verpasse ich so viele schöne Orte!","Exactly! If I never stray from the hiking trail, I miss out on so many beautiful places!"
t7224f997fc,"Und als ich letztes Mal den Wasserfall gefunden habe, war Vero auch total begeistert.","And when I found the waterfall last time, Vero was totally thrilled too."
t3a6bba724d,"Mal sehen, was wir dieses Mal finden!","Let's see what we find this time!"
t98740a22b4,Sehe ich anders.,I dont think so.
t0ede5da61c,Nur in den Tag hinein leben funktioniert auch nicht.,Just living for the day doesn't work either.
te664aa699a,"Ja, das stimmt natürlich ...","Yes, of course that's true ..."
t3a3ede5b34,"Vermutlich hast du recht. Ich sollte dankbar sein, dass Vero alles für uns plant.","You're probably right. I should be grateful that Vero plans everything for us."
tc36523967c,Hast du Lust auf eine heiße Schokolade?,Fancy a hot chocolate?
te2ac1519ec,Wir haben keine Milch mehr da.,We've run out of milk.
t05e84c0e84,"Oh, schade. Aber ich könnte uns einen Smoothie machen!","Oh, that's too bad. But I could make us a smoothie!"
tc88543058f,Obst haben wir auch keins mehr.,We don't have any fruit left either.
t99ffc85fc2,"Stimmt ja. Oh, und was ist mit Milchreis?","That's right. Oh, and what about rice pudding?"
taac689f2d0,... Kris. Keine Milch.,... Kris. No milk.
t8f9897685e,Achja. Na gut. Dann nächstes Mal.,Oh well. All right. Next time then.
tcdc916e0b4,"Hey, endlich mal keine Krisen gerade.","Hey, finally no crises just now."
ta8297eb176,Da kann man wieder seine sozialen Kontakte pflegen.,It's a great to socialise again.
