keys,de,en
tc2b5b704cf,"Ah, so ein schöner Morgen! [wait=0.5] Huch, wieso geht mein Licht nicht an?","Ah, such a beautiful morning! [wait=0.5] Ugh, why isn't my light coming on?"
t4b45e070c5,"Herd geht auch nicht, der Kühlschrank ist auch aus ... Mist. Mein Strom ist wohl weg.","The cooker doesn't work either, the fridge is also off ... Crap. My power must be out."
t0a52543658,"Oh, da ist jemand an der Tür.","Oh, there's someone at the door."
t87c1d5a041,Guten Morgen Nachbar! Hast du auch keinen Strom?,Good morning neighbour! Do you not have any power?
t0c11cbf350,Sieht ganz so aus.,Looks like it.
teb9d81abfc,Dann scheint es wohl ein größeres Problem zu sein. Kommst du klar?,Then it seems to be a bigger problem. Are you going to be OK?
t882c9d3db6,"Ja, klar.","Yeah, sure."
tb7770a6a77,Gar kein Problem. Ich habe ja auch noch mein Krisenbewältigungsbuch im Regal.,No problem at all. I still have my crisis management book on the shelf.
t300122350a,Klingt gut. Viel Erfolg!,Sounds good. Good luck!
t9a12a080ba,Naja.,Oh well.
t8142e623d4,Das trifft mich etwas unvorbereitet. Aber immerhin habe ich noch mein Krisenbewältigungs-buch im Regal.,That catches me a little off guard. But at least I still have my crisis management book on the shelf.
t92f3fa9a53,Klingt gut. Viel Erfolg!,Sounds good. Good luck!
